vl_cnpj;optante_simples;optante_simei
4,24132E+12;FALSE;FALSE
4,24564E+12;TRUE;FALSE
4,2462E+12;FALSE;FALSE
4,24731E+12;FALSE;FALSE
4,25145E+12;FALSE;FALSE
4,25749E+12;FALSE;FALSE
4,27222E+12;null;null
4,29706E+12;TRUE;FALSE
4,29965E+12;TRUE;FALSE
4,30507E+12;TRUE;FALSE
4,3209E+12;null;null
4,32211E+12;TRUE;FALSE
4,33761E+12;FALSE;FALSE
4,34165E+12;TRUE;FALSE
4,34486E+12;TRUE;FALSE
4,35252E+12;TRUE;FALSE
4,35657E+12;FALSE;FALSE
4,37329E+12;null;null
4,38387E+12;FALSE;FALSE
4,38636E+12;TRUE;FALSE
4,39118E+12;FALSE;FALSE
4,39546E+12;TRUE;FALSE
4,40254E+12;TRUE;FALSE
4,41331E+12;TRUE;FALSE
4,41605E+12;FALSE;FALSE
4,41744E+12;TRUE;FALSE
4,42357E+12;FALSE;FALSE
4,43289E+12;TRUE;FALSE
4,43608E+12;TRUE;FALSE
4,44147E+12;TRUE;FALSE
4,44848E+12;TRUE;FALSE
4,45721E+12;FALSE;FALSE
4,45996E+12;FALSE;FALSE
4,47892E+12;TRUE;FALSE
4,48756E+12;TRUE;FALSE
4,48848E+12;FALSE;FALSE
4,49114E+12;TRUE;FALSE
4,49696E+12;FALSE;FALSE
4,51208E+12;FALSE;FALSE
4,51501E+12;TRUE;FALSE
4,51684E+12;FALSE;FALSE
4,51745E+12;FALSE;FALSE
4,52406E+12;FALSE;FALSE
4,52463E+12;TRUE;FALSE
4,52912E+12;FALSE;FALSE
4,5519E+12;TRUE;FALSE
4,55734E+12;FALSE;FALSE
4,55895E+12;FALSE;FALSE
4,5599E+12;TRUE;FALSE
4,56159E+12;FALSE;FALSE
4,56399E+12;FALSE;FALSE
4,56475E+12;FALSE;FALSE
4,56594E+12;FALSE;FALSE
4,57381E+12;TRUE;FALSE
4,57657E+12;FALSE;FALSE
4,58161E+12;FALSE;FALSE
4,60543E+12;TRUE;FALSE
4,61254E+12;FALSE;FALSE
4,61723E+12;TRUE;FALSE
4,62048E+12;FALSE;FALSE
4,63298E+12;FALSE;FALSE
4,63343E+12;FALSE;FALSE
4,63379E+12;TRUE;FALSE
4,65088E+12;FALSE;FALSE
4,65954E+12;FALSE;FALSE
4,66513E+12;FALSE;FALSE
4,67087E+12;FALSE;FALSE
4,67983E+12;FALSE;FALSE
4,68345E+12;FALSE;FALSE
4,69212E+12;TRUE;FALSE
4,70485E+12;FALSE;FALSE
4,70673E+12;FALSE;FALSE
4,71472E+12;FALSE;FALSE
4,71597E+12;FALSE;FALSE
4,72658E+12;FALSE;FALSE
4,72828E+12;TRUE;FALSE
4,74203E+12;TRUE;FALSE
4,74613E+12;TRUE;FALSE
4,75299E+12;FALSE;FALSE
4,75691E+12;TRUE;FALSE
4,77669E+12;FALSE;FALSE
4,77749E+12;null;null
4,77835E+12;TRUE;FALSE
4,79404E+12;TRUE;FALSE
4,79861E+12;TRUE;FALSE
4,7993E+12;FALSE;FALSE
4,80646E+12;FALSE;FALSE
4,81069E+12;TRUE;FALSE
4,81727E+12;FALSE;FALSE
4,82104E+12;FALSE;FALSE
4,82732E+12;FALSE;FALSE
4,83014E+12;TRUE;FALSE
4,83161E+12;FALSE;FALSE
4,83455E+12;TRUE;FALSE
4,83983E+12;TRUE;FALSE
4,84445E+12;TRUE;FALSE
4,84953E+12;FALSE;FALSE
4,8536E+12;FALSE;FALSE
4,85862E+12;FALSE;FALSE
4,87811E+12;TRUE;FALSE
4,89573E+12;FALSE;FALSE
4,90037E+12;TRUE;FALSE
4,90298E+12;FALSE;FALSE
4,90953E+12;TRUE;FALSE
4,91127E+12;TRUE;FALSE
4,91371E+12;FALSE;FALSE
4,91918E+12;TRUE;FALSE
4,9221E+12;FALSE;FALSE
4,93221E+12;FALSE;FALSE
4,93894E+12;FALSE;FALSE
4,94378E+12;TRUE;FALSE
4,95116E+12;TRUE;FALSE
4,9576E+12;TRUE;FALSE
4,95893E+12;TRUE;FALSE
4,96782E+12;TRUE;FALSE
4,98632E+12;FALSE;FALSE
4,98881E+12;FALSE;FALSE
5,00865E+12;TRUE;FALSE
5,01107E+12;FALSE;FALSE
5,01475E+12;FALSE;FALSE
5,02103E+12;FALSE;FALSE
5,03998E+12;FALSE;FALSE
5,05508E+12;FALSE;FALSE
5,07406E+12;TRUE;FALSE
5,07501E+12;FALSE;FALSE
5,0854E+12;TRUE;FALSE
5,08797E+12;FALSE;FALSE
5,09598E+12;FALSE;FALSE
5,1029E+12;FALSE;FALSE
5,10366E+12;null;null
5,11186E+12;FALSE;FALSE
5,13717E+12;FALSE;FALSE
5,14599E+12;TRUE;FALSE
5,16071E+12;FALSE;FALSE
5,16085E+12;FALSE;FALSE
5,16294E+12;TRUE;FALSE
5,19202E+12;FALSE;FALSE
5,19744E+12;FALSE;FALSE
5,20243E+12;FALSE;FALSE
5,20452E+12;FALSE;FALSE
5,23333E+12;FALSE;FALSE
5,2366E+12;FALSE;FALSE
5,24202E+12;FALSE;FALSE
5,25496E+12;FALSE;FALSE
5,27435E+12;null;null
5,2864E+12;null;null
5,29845E+12;TRUE;TRUE
5,30031E+12;FALSE;FALSE
5,30104E+12;FALSE;FALSE
5,31094E+12;FALSE;FALSE
5,31414E+12;FALSE;FALSE
5,32426E+12;FALSE;FALSE
5,33151E+12;FALSE;FALSE
5,33539E+12;TRUE;TRUE
5,33623E+12;TRUE;FALSE
5,33922E+12;TRUE;FALSE
5,34038E+12;FALSE;FALSE
5,34664E+12;FALSE;FALSE
5,36589E+12;TRUE;FALSE
5,37333E+12;FALSE;FALSE
5,37473E+12;FALSE;FALSE
5,37832E+12;FALSE;FALSE
5,38603E+12;FALSE;FALSE
5,38983E+12;FALSE;FALSE
5,39141E+12;FALSE;FALSE
5,39215E+12;FALSE;FALSE
5,40371E+12;FALSE;FALSE
5,40506E+12;TRUE;FALSE
5,4072E+12;null;null
5,41018E+12;FALSE;FALSE
5,41056E+12;TRUE;FALSE
5,41594E+12;TRUE;FALSE
5,42262E+12;FALSE;FALSE
5,44845E+12;TRUE;FALSE
5,45717E+12;TRUE;FALSE
5,46644E+12;TRUE;FALSE
5,46811E+12;FALSE;FALSE
5,47722E+12;TRUE;FALSE
5,48329E+12;TRUE;FALSE
5,48428E+12;FALSE;FALSE
5,48941E+12;FALSE;FALSE
5,49022E+12;null;null
5,4938E+12;FALSE;FALSE
5,49555E+12;FALSE;FALSE
5,50187E+12;TRUE;FALSE
5,51197E+12;TRUE;FALSE
5,51341E+12;FALSE;FALSE
5,51822E+12;FALSE;FALSE
5,5265E+12;TRUE;FALSE
5,55804E+12;TRUE;FALSE
5,56294E+12;FALSE;FALSE
5,56735E+12;TRUE;FALSE
5,57491E+12;FALSE;FALSE
5,57854E+12;TRUE;FALSE
5,58652E+12;FALSE;FALSE
5,58786E+12;TRUE;FALSE
5,59858E+12;TRUE;FALSE
5,61027E+12;TRUE;FALSE
5,65519E+12;null;null
5,67086E+12;FALSE;FALSE
5,67703E+12;FALSE;FALSE
5,68184E+12;TRUE;FALSE
5,68571E+12;FALSE;FALSE
5,72779E+12;TRUE;FALSE
5,72933E+12;TRUE;FALSE
5,7304E+12;FALSE;FALSE
5,73768E+12;TRUE;TRUE
5,73879E+12;FALSE;FALSE
5,74171E+12;TRUE;FALSE
5,75519E+12;TRUE;FALSE
5,75839E+12;TRUE;FALSE
5,77428E+12;FALSE;FALSE
5,79931E+12;FALSE;FALSE
5,8048E+12;FALSE;FALSE
5,80619E+12;FALSE;FALSE
5,80842E+12;TRUE;FALSE
5,83272E+12;FALSE;FALSE
5,83468E+12;TRUE;FALSE
5,85066E+12;null;null
5,8521E+12;TRUE;FALSE
5,86638E+12;FALSE;FALSE
5,873E+12;FALSE;FALSE
