vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
1,81743E+13;BAIXO;GRANDE;CINZA
2,02473E+13;MEDIO;GRANDE;CINZA
2,26775E+13;ALTO;GRANDE;VERDE
2,49908E+13;MUITO BAIXO;GRANDE;CINZA
2,64627E+13;MEDIO;GRANDE;CINZA
2,70936E+13;ALTO;GRANDE;VERMELHO
3,30427E+13;ALTO;GRANDE;VERMELHO
3,31133E+13;ALTO;GRANDE;VERDE
3,36646E+13;MEDIO;PEQUENA;CINZA
3,42742E+13;ALTO;GRANDE;AMARELA
3,57914E+13;ALTO;MEDIA;VERDE
3,6542E+13;ALTO;GRANDE;AMARELA
4,09044E+13;ALTO;MEI;Não Cadastrado
4,23315E+13;ALTO;GRANDE;CINZA
4,48688E+13;MEDIO;MEI;Não Cadastrado
4,52371E+13;ALTO;MEI;Não Cadastrado
5,81192E+13;ALTO;GRANDE;AMARELA
6,04769E+13;ALTO;GRANDE;AMARELA
6,08516E+13;ALTO;GRANDE;VERMELHO
6,08843E+13;ALTO;GRANDE;VERMELHO
6,1092E+13;ALTO;GRANDE;AMARELA
6,13742E+13;ALTO;GRANDE;VERDE
6,18566E+13;ALTO;GRANDE;AMARELA
6,75714E+13;ALTO;GRANDE;VERDE
8,46932E+13;ALTO;GRANDE;VERMELHO
9,26606E+13;ALTO;GRANDE;VERDE
9,54269E+13;ALTO;GRANDE;CINZA
7,76574E+11;ALTO;GRANDE;AMARELA
2,4741E+12;ALTO;GRANDE;CINZA
3,39483E+12;MEDIO;MEI;CINZA
3,80212E+12;MEDIO;GRANDE;VERDE
4,75299E+12;ALTO;GRANDE;CINZA
6,94897E+12;ALTO;GRANDE;CINZA
7,71827E+12;ALTO;GRANDE;CINZA
8,53461E+12;ALTO;GRANDE;CINZA
8,61355E+12;ALTO;GRANDE;VERDE
8,79521E+12;ALTO;GRANDE;VERDE
1,07394E+13;MEDIO;GRANDE;CINZA
1,07603E+13;ALTO;GRANDE;AMARELA
1,08074E+13;ALTO;GRANDE;VERDE
1,51418E+13;ALTO;GRANDE;VERDE
1,55279E+13;ALTO;GRANDE;CINZA
1,72452E+13;ALTO;GRANDE;VERDE
1,73143E+13;ALTO;GRANDE;CINZA
2,22662E+13;ALTO;GRANDE;VERDE
3,30002E+13;ALTO;GRANDE;VERDE
3,3228E+13;ALTO;GRANDE;CINZA
